organization,contact,title,email,vertical,notes
MORNINGSTAR SENIOR LIVING INC,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Nazareth, PA; annual revenue $35,414,494; source LMS score 44/100."
HOMESTEAD VILLAGE INC,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Lancaster, PA; annual revenue $35,223,184; source LMS score 44/100."
UNITED ELECTRIC COOPERATIVE INC,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Dubois, PA; annual revenue $35,093,406; source LMS score 44/100."
KIDSSPEACE OF NEW ENGLAND,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Schnecksville, PA; annual revenue $34,892,752; source LMS score 44/100."
LONGWOOD AT OAKMONT INC,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Verona, PA; annual revenue $34,872,700; source LMS score 44/100."
REGIONAL INDUSTRIAL DEVELOPMENT CORPORATION OF SW PA,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Pittsburgh, PA; annual revenue $34,584,113; source LMS score 44/100."
PETER BECKER COMMUNITY,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Harleysville, PA; annual revenue $34,226,738; source LMS score 44/100."
ARTSQUEST,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Bethlehem, PA; annual revenue $34,178,051; source LMS score 44/100."
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Philadelphia, PA; annual revenue $34,156,787; source LMS score 44/100."
WESTERN PENNSYLVANIA CONSERVANCY,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Pittsburgh, PA; annual revenue $32,834,272; source LMS score 44/100."
QUARRYVILLE PRESBYTERIAN RETIREMENT COMMUNITY,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Quarryville, PA; annual revenue $32,658,484; source LMS score 44/100."
WESTMINSTER THEOLOGICAL SEMINARY,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Glenside, PA; annual revenue $32,134,115; source LMS score 44/100."
CLAVERACK RURAL ELECTRIC COOPERATIVE INC,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Wysox, PA; annual revenue $31,369,636; source LMS score 44/100."
PRESBYTERIAN SENIORCARE,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Oakmont, PA; annual revenue $31,320,226; source LMS score 44/100."
SOUDERTON MENNONITE HOMES,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Souderton, PA; annual revenue $31,096,330; source LMS score 44/100."
RONALD MCDONALD HOUSE PHILADELPHIA,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Philadelphia, PA; annual revenue $30,645,793; source LMS score 44/100."
LEBANON VALLEY BRETHREN HOME,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Palmyra, PA; annual revenue $30,394,449; source LMS score 44/100."
SAUCON VALLEY COUNTRY CLUB,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Bethlehem, PA; annual revenue $30,156,355; source LMS score 44/100."
SOMERSET RURAL ELECTRIC COOPERATIVE INC,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Somerset, PA; annual revenue $30,148,509; source LMS score 44/100."
DISTRICT 1199C BENEFIT FUND FOR HOSP EMPLOYEES-PHILA & VICINITY,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Philadelphia, PA; annual revenue $30,092,727; source LMS score 44/100."
ST PAUL HOMES,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Greenville, PA; annual revenue $30,027,022; source LMS score 44/100."
FREE & ACCEPTED MASONS OF PENNSYLVANIA,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Philadelphia, PA; annual revenue $29,861,777; source LMS score 44/100."
YOUNG MEN & WOMENS HEBREW ASSN & IRENE KAUFMANN CENTERS,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Pittsburgh, PA; annual revenue $29,095,542; source LMS score 44/100."
PHILADELPHIA INDUSTRIAL DEVELOPMENT CORP,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Philadelphia, PA; annual revenue $28,875,003; source LMS score 44/100."
THE FRED ROGERS COMPANY,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Pittsburgh, PA; annual revenue $28,551,570; source LMS score 44/100."
IRON WORKERS WELFARE PLAN OF WESTERN PENNSYLVANIA,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Pittsburgh, PA; annual revenue $27,970,739; source LMS score 44/100."
PHILADELPHIA CRICKET CLUB,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Philadelphia, PA; annual revenue $27,452,320; source LMS score 44/100."
FOXDALE VILLAGE CORPORATION,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: State College, PA; annual revenue $27,300,404; source LMS score 44/100."
1260 HOUSING DEVELOPMENT CORPORATION,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Philadelphia, PA; annual revenue $27,249,948; source LMS score 44/100."
GRANITE STATE ELEC CO POST RET BEN TR FOR EMP SUB TO COLLECT BARGAIN,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Pittsburgh, PA; annual revenue $27,162,959; source LMS score 44/100."
PHI,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Dillsburg, PA; annual revenue $26,999,865; source LMS score 44/100."
NATURAL LANDS TRUST INCORPORATED,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Media, PA; annual revenue $26,592,726; source LMS score 44/100."
CHRISTS HOME,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Warminster, PA; annual revenue $26,169,393; source LMS score 44/100."
PIDC COMMUNITY CAPITAL,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Philadelphia, PA; annual revenue $25,966,988; source LMS score 44/100."
ST ANNES RETIREMENT COMMUNITY INC,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Columbia, PA; annual revenue $25,627,373; source LMS score 44/100."
ARTMAN LUTHERAN HOME,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Ambler, PA; annual revenue $25,542,214; source LMS score 44/100."
PACIFIC GAS & ELECTRIC LONG-TERM DISABILITY TRUST FOR UNION EMPL,,,,Other / validate,"assets >$50M; revenue >$25M. Likely motion: needs validation. Brightspace angle: Validate whether they deliver repeatable learning to external or distributed audiences. Context: Pittsburgh, PA; annual revenue $25,406,364; source LMS score 44/100."
KIPP PHILADELPHIA CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $24,960,278; source LMS score 44/100."
FAITH CHRISTIAN ACADEMY,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Quakertown, PA; annual revenue $24,771,238; source LMS score 44/100."
CREATIVE HEALTH SERVICES INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pottstown, PA; annual revenue $24,649,204; source LMS score 44/100."
MATERNAL & FAMILY HEALTH SERVICES INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Wilkes Barre, PA; annual revenue $24,308,785; source LMS score 44/100."
MAPLE HEALTH AND REHABILITATION CENTERS INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Bala Cynwyd, PA; annual revenue $24,289,806; source LMS score 44/100."
UFCW HEALTH & WELFARE FUND OF NEPA,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Plymouth Mtng, PA; annual revenue $24,061,430; source LMS score 44/100."
ACHIEVEMENT HOUSE CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Exton, PA; annual revenue $23,924,539; source LMS score 44/100."
CONGRESO DE LATINOS UNIDOS INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $23,560,707; source LMS score 44/100."
PHILADELPHIA CHARTER SCHOOL FOR ARTS AND SCIENCES AT HR EDMUNDS,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $23,539,850; source LMS score 44/100."
MUTUAL AID AMBULANCE SERVICE INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Greensburg, PA; annual revenue $23,453,339; source LMS score 44/100."
THE CHILDRENS HOME OF PITTSBURGH,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $23,449,075; source LMS score 44/100."
CHRIST THE KING MANOR,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Dubois, PA; annual revenue $23,181,796; source LMS score 44/100."
CORNERSTONE CARE INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Greensboro, PA; annual revenue $23,068,869; source LMS score 44/100."
WISSAHICKON CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $22,969,563; source LMS score 44/100."
TACONY NEIGHBORHOOD CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $22,961,245; source LMS score 44/100."
FREIRE CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $22,743,447; source LMS score 44/100."
PRESBYTERIAN MEDICAL CENTER OF OAKMONT PENNSYLVANIA INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Oakmont, PA; annual revenue $22,673,209; source LMS score 44/100."
DAYSPRING CHRISTIAN ACADEMY,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Mountville, PA; annual revenue $22,547,354; source LMS score 44/100."
COMMUNITY NURSES HOME HEALTH AND HOSPICE INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: St Marys, PA; annual revenue $21,630,267; source LMS score 44/100."
UNITED DISABILITIES SERVICES,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Lancaster, PA; annual revenue $21,594,005; source LMS score 44/100."
ST ANNE HOME,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Greensburg, PA; annual revenue $21,571,094; source LMS score 44/100."
GERMANTOWN HOME,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $21,563,620; source LMS score 44/100."
MASTERY CHARTER SCHOOL-PICKETT CAMPUS,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $21,518,166; source LMS score 44/100."
STAIRWAYS BEHAVIORAL HEALTH,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Erie, PA; annual revenue $21,487,962; source LMS score 44/100."
21ST CENTURY CYBER CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: West Chester, PA; annual revenue $21,054,760; source LMS score 44/100."
UPMC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $21,020,295; source LMS score 44/100."
ENDLESS MOUNTAINS HEALTH SYSTEMS INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Montrose, PA; annual revenue $20,965,547; source LMS score 44/100."
RIVER VALLEY HEALTH,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Williamsport, PA; annual revenue $20,917,703; source LMS score 44/100."
PENNSYLVANIA INSTITUE OF TECHNOLOGY,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Media, PA; annual revenue $20,885,861; source LMS score 44/100."
JACK M BARRACK HEBREW ACADEMY,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Bryn Mawr, PA; annual revenue $20,885,234; source LMS score 44/100."
YORK ACADEMY REGIONAL CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: York, PA; annual revenue $20,856,879; source LMS score 44/100."
MONELL CHEMICAL SENSES CENTER,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $20,726,758; source LMS score 44/100."
ESPERANZA CYBER CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $20,585,068; source LMS score 44/100."
NATIONAL NURSE-LED CARE CONSORTIUM,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $20,542,096; source LMS score 44/100."
CHANDLER HALL HEALTH SERVICES INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Newtown, PA; annual revenue $20,112,170; source LMS score 44/100."
FRANKLIN TOWNE CHARTER ELEMENTARY SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $20,053,817; source LMS score 44/100."
PENNSYLVANIA STATE EDUCATION ASSOCI ATION HEALTH AND WELFARE FUND,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Harrisburg, PA; annual revenue $20,012,789; source LMS score 44/100."
VOICES FOR INDEPENDENCE,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Erie, PA; annual revenue $19,993,064; source LMS score 44/100."
BOYS LATIN OF PHILADELPHIA CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $19,918,707; source LMS score 44/100."
EASTER SEALS OF SOUTHEASTERN PENNSYLVANIA,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $19,882,429; source LMS score 44/100."
GARVEY MANOR NURSING HOME,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Hollidaysburg, PA; annual revenue $19,616,220; source LMS score 44/100."
SUMMIT SCHOOL INC,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Herman, PA; annual revenue $19,580,349; source LMS score 44/100."
PROPEL CHARTER SCHOOL - MONTOUR,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Pittsburgh, PA; annual revenue $19,550,995; source LMS score 44/100."
CENTRAL PENNSYLVANIA BLOOD BANK,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Hummelstown, PA; annual revenue $19,507,121; source LMS score 44/100."
IMPACT CHARTER SCHOOL WEST,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $19,447,744; source LMS score 44/100."
PROPEL CHARTER SCHOOL SUNRISE,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Pittsburgh, PA; annual revenue $18,938,097; source LMS score 44/100."
IBEW HEALTH & WELFARE TRUST FUND NECA LOCAL UNION NO 313,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $18,856,129; source LMS score 44/100."
PHILADELPHIA SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $18,796,296; source LMS score 44/100."
SETTLEMENT MUSIC SCHOOL OF PHILADELPHIA,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $18,638,348; source LMS score 44/100."
MERCER COUNTY BEHAVIORAL HEALTH COMMISSION INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Mercer, PA; annual revenue $18,367,470; source LMS score 44/100."
LYCOMING COMMUNITY CARE INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Montoursville, PA; annual revenue $18,349,159; source LMS score 44/100."
UNIVERSITY OF VALLEY FORGE OF THE ASSEMBLIES OF GOD,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Phoenixville, PA; annual revenue $18,310,495; source LMS score 44/100."
ANTONIA PANTOJA CHARTER SCHOOL AN ASPIRA OF PENNSYLVANIA SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $18,252,433; source LMS score 44/100."
INDEPENDENCE CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $18,228,378; source LMS score 44/100."
LINCOLN LEADERSHIP ACADEMY CHARTER SCHOOL INC,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Allentown, PA; annual revenue $18,157,909; source LMS score 44/100."
MARITIME ACADEMY CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $18,029,887; source LMS score 44/100."
BARNES-KASSON COUNTY HOSPITAL,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Susquehanna, PA; annual revenue $18,006,938; source LMS score 44/100."
CHILDREN SCHOLARSHIP FUND PHILADELPHIA,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $17,928,194; source LMS score 44/100."
CHILDRENS SURGICAL ASSOCIATES OF NJ INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $17,920,763; source LMS score 44/100."
PAN AMERICAN ACADEMY CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $17,747,522; source LMS score 44/100."
MASTERY CHARTER SCHOOL - SHOEMAKERCAMPUS,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $17,743,094; source LMS score 44/100."
TURTLE CREEK VALLEY MENTAL HEALTH MENTAL RETARDATION INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Homestead, PA; annual revenue $17,651,519; source LMS score 44/100."
PHMC INTEGRATED,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $17,559,169; source LMS score 44/100."
CHRISTOPHER COLUMBUS CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $17,523,874; source LMS score 44/100."
